Page_URL,Element_Type,Content,Link_URL,Page_Title
https://www.budget.ca/en/home,Security Protection,Detected: Book Now,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Reservations,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Deals,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Locations,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Cars & Services,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Fastbreak,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Sign In,javascript:void(0),Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Register,https://www.budget.ca/en/loyalty-profile/fastbreak/enrollment,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Business Rental,https://www.budget.ca/en/programs/business-car-rental/partner-137,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Navigation,Customer Care,https://www.budget.ca/en/customer-care,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Reservation Field,Placeholder: Enter your pick-up location or zip code,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Form Element,Placeholder: Enter your pick-up location or zip code,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Form Element,Placeholder: mm/dd/yyyy,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Form Element,Field: reservationModel.pickUpTime,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
https://www.budget.ca/en/home,Form Element,Field: country,N/A,Budget Car Rental Canada | Discount car rental | Budget Car Rental Canada
